Citation;Taxa studied;Biome;Realm;Country;Latitude (dec °);Longitude (dec °);Elev. (masl);RG sites;OG sites;Repl. data?
O'Dea and Whittaker (2007)*;Birds;Broadleaf;NT;Ecuador;0.078;-78.684;1800;50;50;yes
Owiunji and Plumptre (1998);Birds;Transition;AT;Uganda;1.750;31.500;1100;3;2;yes
Palladini et al. (2007);Ants;Conifer;NA;United States;42.100;-123.200;1400;4;6;yes
Parrotta and Knowles (2001);Plants;Broadleaf;NT;Brazil;-1.667;-56.450;180;5;1;no
Parry et al. (2007);Large mammals and birds;Broadleaf;NT;Brazil;-0.913;-52.561;40;4;4;no
Pascarella et al. (2000);Plants;Broadleaf;NT;Puerto Rico;18.000;-66.100;500;33;4;no
Patten (1997);NVSM;Open;NA;United States;33.893;-116.573;230;1;1;no
Pawar et al. (2004);Reptiles and amphibians;Broadleaf;IM;India;22.807;92.566;100;5;3;yes
Peh et al. (2005);Birds (forest);Broadleaf;IM;Malaysia;2.100;103.300;300;2;2;yes
Piqueray et al. (2011);Plants;Open;PA;Belgium;50.104;4.910;250;12;8;no
Powers et al. (2009)*;Plants;Transition;NT;Costa Rica;10.840;85.620;550;22;3;yes
Purata (1986);Plants;Broadleaf;NT;Mexico;18.582;-95.105;450;25;1;no
Quintero and Roslin (2005);Beetles;Broadleaf;NT;Brazil;-2.417;-59.833;100;3;3;yes
Raman (2001);Birds;Broadleaf;IM;India;23.566;92.388;500;10;2;yes
Renner et al. (2006);Birds;Broadleaf;IM;Guatemala;15.383;-90.067;2250;6;6;no
Roth et al. (1994);Ants;Broadleaf;NT;Costa Rica;10.403;-84.021;400;2;2;yes
Sáfián et al. (2010);Butterflies;Broadleaf;AT;Ghana;5.360;-1.369;180;4;3;yes
Sarmiento et al. (2003);Plants;Broadleaf;NT;Venezuela;8.581;-70.700;900;115;8;no
Schonberg et al. (2004);Ants;Broadleaf;NT;Costa Rica;10.333;-84.750;1450;1;1;no
Selmants and Knight (2003);Plants;Conifer;NA;United States;41.000;-106.000;2900;30;24;no
Shahabuddin et al (2005);Beetles;Broadleaf;IM;Indonesia;-1.422;120.324;1150;4;4;no
Silva et al. (2007);Ants;Broadleaf;NT;Brazil;-27.018;-49.017;575;5;1;no
Sodhi et al. (2005);Birds;Broadleaf;IM;Indonesia;-1.107;120.128;1100;100;100;no
Sorensen and Fedigan (2000);Large mammals;Broadleaf;NT;Costa Rica;10.833;-85.650;150;11;2;yes
Stark et al. (2006);Plants;Conifer;NA;Canada;50.700;-120.300;900;21;10;yes
Stenbacka et al. (2010);Beetles;Conifer;PA;Sweden;63.830;18.295;330;27;18;yes
Vallan (2002);Amphibians;Broadleaf;AT;Madagascar;-18.954;48.522;900;2;4;yes
Vasconcelos (1999);Ants;Broadleaf;NT;Brazil;-2.417;-59.833;80;3;2;yes
Veddeler et al. (2005);Butterflies;Broadleaf;IM;Indonesia;-1.209;120.142;1100;24;4;no
Waltert et al. (2005);Butterflies;Broadleaf;IM;Indonesia;-1.209;120.142;1000;3;2;yes
Wijesinghe and Brooke (2005);NVSM and birds;Broadleaf;IM;Sri Lanka;6.350;80.350;200;40;20;no
Willett (2001);Spiders;Broadleaf;NA;United States;37.100;-122.130;520;2;1;no
Wu et al. (1996);NVSM;Broadleaf;IM;China;22.025;100.871;700;6;7;yes
