Citation;Taxa studied;Biome;Realm;Country;Latitude (dec °);Longitude (dec °);Elev. (masl);RG sites;OG sites;Repl. data?;Author;Year;reference
Abbot et al. (2003);Cockroaches, grasshoppers, crickets and spiders;Transition;AA;Australia;-34.115;116.369;270;15;1;no;Abbot;2003;Abbott, I., T. Burbidge, K. Strehlow, A. Mellican, and A. Wills. 2003. Logging and burning impacts on cockroaches, crickets and grasshoppers, and spiders in Jarrah forest, Western Australia. Forest Ecology and Management 174:383–399.
Aerts et al. (2008);Birds;Broadleaf;AT;Ethiopia;13.617;39.350;1900;5;10;yes;Aerts;2008;Aerts, R., F. Lerouge, E. November, L. Lens, M. Hermy, and B. Muys. 2008. Land rehabilitation and the conservation of birds in a degraded Afromontane landscape in northern Ethiopia. Biodiversity and Conservation 17:53–69.
Aidar et al. (2001);Plants;Broadleaf;NT;Brazil;-24.529;-48.686;550;2;1;no;Aidar;2001;Aidar, M. P., J. R. Godoy, J. Bergmann, and C. A. Joly. 2001. Atlantic Forest succession over calcareous soil, Parque Estadual Turístico do Alto Ribeira-PETAR, SP. Revista Brasileira de Botânica 24:455–469.
Andersen (1993);Ants;Transition;AA;Australia;-12.670;132.830;30;6;2;yes;Andersen;1993;Andersen, A. N. 1993. Ants as Indicators of Restoration Success at a Uranium Mine in Tropical Australia. Restoration Ecology 1:156–167.
Andersen and Nelson (1999);NVSM;Transition;NA;United States;34.279;-114.121;120;2;1;no;Andersen and Nelson;1999;Andersen, A. N., J. A. Ludwig, L. M. Lowe, and D. C. F. Rentz. 2001. Grasshopper biodiversity and bioindicators in Australian tropical savannas: responses to disturbance in Kakadu National Park. Austral Ecology 26:213–222.
Andersen et al. (2001);Grasshoppers;Open;AA;Australia;-12.853;132.587;20;10;10;no;Andersen;2001;Andersen, D. C., and S. M. Nelson. 1999. Rodent use of anthropogenic and “natural” desert riparian habitat, lower Colorado River, Arizona. Regulated Rivers: Research and Management 15:377–393.
Andrade and Rubio-Torgler (1994);Birds;Broadleaf;NT;Colombia;-1.236;-69.922;100;3;4;no;Andrade and Rubio-Torgler ;1994;Andrade, G. I., and H. Rubio-Torgler. 1994. Sustainable Use of the Tropical Rain Forest: Evidence from the Avifauna in a Shifting-Cultivation Habitat Mosaic in the Colombian Amazon. Conservation Biology 8:545–554.
Aravena et al. (2002);Plants;Broadleaf;NT;Chile;-43.122;-74.030;75;4;1;no;Aravena;2002;Aravena, J. C., M. R. Carmona, C. A. Perez, and J. J. Armesto. 2002. Changes in tree species richness, stand structure and soil properties in a successional chronosequence in northern Chiloe Island, Chile. Revista Chilena de Historia Natural 75:339–360.
Barlow et al. (2007a);Birds;Broadleaf;NT;Brazil;-0.913;-52.561;70;5;5;no;Barlow;2007;Barlow, J., T. A. Gardner, I. S. Araujo, T. C. Ávila-Pires, A. B. Bonaldo, J. E. Costa, M. C. Esposito, L. V. Ferreira, J. Hawes, M. I. M. Hernandez, M. S. Hoogmoed, R. N. Leite, N. F. Lo-Man-Hung, J. R. Malcolm, M. B. Martins, L. A. M. Mestre, R. Miranda-Santos, A. L. Nunes-Gutjahr, W. L. Overal, L. Parry, S. L. Peters, M. A. Ribeiro-Junior, M. N. F. da Silva, C. da Silva Motta, and C. A. Peres. 2007a. Quantifying the biodiversity value of tropical primary, secondary, and plantation forests. Proceedings of the National Academy of Sciences 104:18555–18560.
Barlow et al. (2007b);Butterflies;Broadleaf;NT;Brazil;-0.913;-52.561;70;5;5;no;Barlow;2007;Barlow, J., W. L. Overal, I. S. Araujo, T. A. Gardner, and C. A. Peres. 2007b. The value of primary, secondary and plantation forests for fruit-feeding butterflies in the Brazilian Amazon. Journal of Applied Ecology 44:1001–1012.
Bihn et al. (2008);Ants;Broadleaf;NT;Brazil;-2.530.563;-4.868.280;130;6;3;yes;Bihn;2008;Bihn, J. H., M. Verhaagh, M. Brändle, and R. Brandl. 2008. Do secondary forests act as refuges for old growth forest animals? Recovery of ant diversity in the Atlantic forest of Brazil. Biological Conservation 141:733–743.
Blake and Loiselle (2001);Birds;Broadleaf;NT;Costa Rica;10.417;-84.017;100;2;1;no;Blake and Loiselle;2001;Blake, J. G., and B. A. Loiselle. 2001. Bird Assemblages in Second-Growth and Old-Growth Forests, Costa Rica: Perspectives from Mist Nets and Point Counts. The Auk 118:304–326.
Bobo et al. (2006);Butterflies;Broadleaf;AT;Cameroon;5.379;9.185;250;6;6;no;Bobo;2006;Bobo, K., M. Waltert, H. Fermon, J. Njokagbor, and M. Mühlenberg. 2006. From forest to farmland: Butterfly Diversity and Habitat Associations Along a Gradient of Forest Conversion in Southwestern Cameroon. Journal of Insect Conservation 10:29–42.
Bowen et al. (2009);Birds;Transition;AA;Australia;-27.636;149.900;280;31;51;yes;Bowen;2009;Bowen, M. E., C. A. McAlpine, L. M. Seabrook, A. P. N. House, and G. C. Smith. 2009. The age and amount of regrowth forest in fragmented brigalow landscapes are both important for woodland dependent birds. Biological Conservation 142:3051–3059.
Bowman et al. (1990);Birds, butterflies and reptiles;Broadleaf;AA;Papua New Guinea;-5.000;145.733;380;13;3;no;Bowman;1990;Bowman, D. M. J. S., J. C. Z. Woinarski, D. P. A. Sands, A. Wells, and V. J. McShane. 1990. Slash-and-Burn Agriculture in the Wet Coastal Lowlands of Papua New Guinea: Response of Birds, Butterflies and Reptiles. Journal of Biogeography 17:227–239.
Bragagnolo et al. (2007);Harvestmen;Broadleaf;NT;Brazil;-23.739;-47.074;980;12;4;yes;Bragagnolo;2007;Bragagnolo, C., A. A. Nogueira, R. Pinto-da-Rocha, and R. Pardini. 2007. Harvestmen in an Atlantic forest fragmented landscape: Evaluating assemblage response to habitat quality and quantity. Biological Conservation 139:389–400.
Buckney and Morrison (1992);Plants;Transition;AA;Australia;-32.410;152.470;80;3;4;yes;Buckney and Morrison;1992;Buckney, R. T., and D. A. Morrison. 1992. Temporal trends in plant species composition on mined sand dunes in Myall Lakes National Park, Australia. Australian Journal of Ecology 17:241–254.
Castro-Luna et al. (2007);Bats;Broadleaf;NT;Mexico;17.608;-92.463;190;6;2;no;Castro-Luna;2007;Castro-Luna, A. A., V. J. Sosa, and G. Castillo-Campos. 2007. Bat diversity and abundance associated with the degree of secondary succession in a tropical forest mosaic in south-eastern Mexico. Animal Conservation 10:219–228.
Chambers et al. (1994);Plants;Open;NA;United States;42.800;-111.367;1620;6;1;no;Chambers;1994;Chambers, J. C., R. W. Brown, and B. D. Williams. 1994. An Evaluation of Reclamation Success on Idaho’s Phosphate Mines. Restoration Ecology 2:4–16.
Chapman et al. (1997);Plants;Broadleaf;AT;Uganda;0.574;30.394;1500;2;2;yes;Chapman;1997;Chapman, C. A., and L. J. Chapman. 1997. Forest Regeneration in Logged and Unlogged Forests of Kibale National Park, Uganda. Biotropica 29:396–412.
Chung et al. (2007);Beetles;Broadleaf;IM;Malaysia;5.603;117.644;60;1;1;no;Chung;2007;Chung, A. Y. C., P. Eggleton, M. R. Speight, P. M. Hammond, and V. K. Chey. 2007. The diversity of beetle assemblages in different habitat types in Sabah, Malaysia. Bulletin of Entomological Research 90:475–496.
Costa et al. (2010);Ants;Open;NT;Brazil;-18.000;-43.349;1250;7;1;no;Costa;2010;Costa, C. B., S. P. Ribeiro, and P. T. A. Castro. 2010. Ants as Bioindicators of Natural Succession in Savanna and Riparian Vegetation Impacted by Dredging in the Jequitinhonha River Basin, Brazil. Restoration Ecology 18:148–157.
de Souza et al. (2008);Amphibians;Broadleaf;NT;Brazil;-22.462;-52.123;210;6;3;yes;de Souza;2008;De Souza, V. M., F. M. de Souza, and E. F. Morato. 2008. Efeitos da sucessão florestal sobre a anurofauna (Amphibia: Anura) da Reserva Catuaba e seu entorno, Acre, Amazônia sul-ocidental. Revista Brasileira de Zoologia 25.
Dranzoa (1998);Birds;Broadleaf;AT;Uganda;0.436;30.535;1400;1;1;yes;Dranzoa;1998;Dranzoa, C. 1998. The avifauna 23 years after logging in Kibale National Park, Uganda. Biodiversity and Conservation 7:777–797.
