Citation;Taxa studied;Biome;Realm;Country;Latitude (dec °);Longitude (dec °);Elev. (masl);RG sites;OG sites;Repl. data?;Author;Year;reference
Hingston and Grove (2010);Birds;Broadleaf;AA;Australia;-43.164;146.698;260;9;2;yes;Hingston and Grove;2010;Hingston, A. B., and S. Grove. 2010. From clearfell coupe to old-growth forest: Succession of bird assemblages in Tasmanian lowland wet eucalypt forests. Forest Ecology and Management 259:459–468.
Hopp et al. (2010);Beetles;Broadleaf;NT;Brazil;-25.372;-48.567;300;18;3;no;Hopp;2010;Hopp, P. W., R. Ottermanns, E. Caron, S. Meyer, and M. Roß-Nickoll. 2010. Recovery of litter inhabiting beetle assemblages during forest regeneration in the Atlantic forest of Southern Brazil. Insect Conservation and Diversity 3:103–113.
House et al. (2006);Ants;Broadleaf;AA;Australia;-27.012;150.716;310;6;2;yes;House;2006;House, A., C. Burwell, and S. Brown. 2006. Ant assemblages in Brigalow regrowth vegetation. Ecological Management and Restoration 7:136–140.
Ishida et al. (2005);Plants;Broadleaf;PA;Japan;34.417;129.333;350;2;2;no;Ishida;2005;Ishida, H., T. Hattori, and Y. Takeda. 2005. Comparison of species composition and richness between primary and secondary lucidophyllous forests in two altitudinal zones of Tsushima Island, Japan. Forest Ecology and Management 213:273–287.
Johns (1991);Birds;Broadleaf;NT;Brazil;-3.533;-64.967;60;2;1;no;Johns;1991;Johns, A. D. 1991. Responses of Amazonian Rain Forest Birds to Habitat Modification. Journal of Tropical Ecology 7:417–437.
Kanowski et al. (2006) [1];Reptiles;Broadleaf;AA;Australia;-27.154;152.651;200;2;1;no;Kanowski;2006;Kanowski, J. J., T. M. Reis, C. P. Catterall, and S. D. Piper. 2006. Factors affecting the use of reforested sites by reptiles in cleared rainforest landscapes in tropical and subtropical Australia. Restoration Ecology 14:67–76.
Kanowski et al. (2006) [2];Reptiles;Broadleaf;AA;Australia;-17.278;145.657;700;2;1;no;Kanowski;2006;Kanowski, J. J., T. M. Reis, C. P. Catterall, and S. D. Piper. 2006. Factors affecting the use of reforested sites by reptiles in cleared rainforest landscapes in tropical and subtropical Australia. Restoration Ecology 14:67–76.
Kardol et al. (2005);Macro-invertebrates;Open;PA;Netherlands;52.048;6.020;50;26;3;yes;Kardol;2005;Kardol, P., T. M. Blackburn, A. van der Wal, and W. H. van der Putten. 2005. Successional trajectories of soil nematode and plant communities in a chronosequence of ex-arable lands. Biological Conservation 126:317–327.
Kennard (2002);Plants;Transition;NT;Bolivia;-16.750;-61.750;500;12;1;no;Kennard;2002;Kennard, D. K. 2002. Secondary Forest Succession in a Tropical Dry Forest: Patterns of Development Across a 50-Year Chronosequence in Lowland Bolivia. Journal of Tropical Ecology 18:53–66.
Kindscher and Tieszen (1998);Plants;Open;NA;United States;39.032;-95.140;260;3;2;yes;Kindscher and Tieszen;1998;Kindscher, K., and L. L. Tieszen. 1998. Floristic and Soil Organic Matter Changes after Five and Thirty-Five Years of Native Tallgrass Prairie Restoration. Restoration Ecology 6:181–196.
Klein (1989);Beetles;Broadleaf;NT;Brazil;-2.417;-59.833;100;3;3;no;Klein;1989;Klein, B. C. 1989. Effects of Forest Fragmentation on Dung and Carrion Beetle Communities in Central Amazonia. Ecology 70:1715.
Kritzinger and Van Aarde (1998);Birds;Transition;AT;South Africa;-28.626;32.074;50;5;1;no;Kritzinger and Van Aarde;1998;Kritzinger, J. J., and R. J. Van Aarde. 1998. The bird communities of rehabilitating coastal dunes at Richards Bay, KwaZulu-Natal. South African Journal of Science 94:71–78.
Lambert (1992);Birds;Broadleaf;IM;Malaysia;4.233;116.467;210;1;1;no;Lambert;1992;Lambert, F. R. 1992. The consequences of selective logging for Bornean lowland forest birds. Philosophical Transactions: Biological Sciences 335:443–457.
Law and Chidel (2001);Bats;Broadleaf;AA;Australia;-37.055;149.873;100;1;1;no;Law and Chidel;2001;Law, B. S., and M. Chidel. 2001. Bat activity 22 years after first-round intensive logging of alternate coupes near Eden, New South Wales. Australian Forestry 64:242–247.
