_id;Source_ID;Reference;BibTeX_reference;Title;Year;Type;Journal;Authors;DOI;Volume;Issue;Pages;Editors;Book_title;URL;Institution;Location;Thesis_type
279;SH1_2010__Medina;Medina et al. 2010;MedinaEtAl2010;Epiphytic bryophytes in harsh environments: the Juniperus thurifera forests;2010;Journal Article;Journal of Bryology;Medina, R.;;;;;;;;;;
280;SC1_2011__Meijer;Meijer et al. 2011;MeijerEtAl2011;The effects of land-use change on arthropod richness and abundance on Santa Maria Island (Azores): unmanaged plantations favour endemic beetles;2011;Journal Article;Journal of Insect Conservation;Meijer, Seline S.;;;;;;;;;;
281;JD1_2010__Mena;Mena and MedellÃ­n 2010;MenaAndMedellin2010;Small mammal assemblages in a disturbed tropical landscape at Pozuzo, Peru;2010;Journal Article;Mammalian Biology;Mena, JosÃ© Luis;;;;;;;;;;
282;AD1_2007__Meyer;Meyer et al. 2007;MeyerEtAl2007;Patch size and landscape effects on pollinators and seed set of the horseshoe vetch, Hippocrepis comosa, in an agricultural landscape of central Europe;2007;Journal Article;Entomologia Generalis;Meyer, Birgit;;;;;;;;;;
283;SC1_2009__Meyer;Meyer et al. 2009;MeyerEtAl2009;Contrasting resource-dependent responses of hoverfly richness and density to landscape structure;2009;Journal Article;Basic and Applied Ecology;Meyer, Birgit;;;;;;;;;;
284;HP1_2013__Mico;Mico et al. 2013;MicoEtAl2013;Explaining the saproxylic beetle diversity of a protected Mediterranean area;2013;Journal Article;Biodiversity and Conservation;Mico, Estefania;;;;;;;;;;
285;DI1_2010__Milder;Milder et al. 2010;MilderEtAl2010;Effects of farm and landscape management on bird and butterfly conservation in western Honduras;2010;Journal Article;Ecosphere;Milder, J. C.;;;;;;;;;;
286;DL1_2010__Miranda;Miranda et al. 2010;MirandaEtAl2010;Unexpected changes in the bird assemblage in areas under selective logging in piedmont forest in northwestern Argentina;2010;Journal Article;Ornitologia Neotropical;Miranda, Maria Veronica;;;;;;;;;;
287;SE2_2005__Moir;Moir et al. 2005;MoirEtAl2005;Restoration of a forest ecosystem: the effects of vegetation and dispersal capabilities on the reassembly of plant-dwelling arthropods;2005;Journal Article;Forest Ecology and Management;Moir, M. L.;;;;;;;;;;
288;DL1_2011__MorenoMateos;Moreno-Mateos et al. 2011;MorenoMateosEtAl2011;Effects of land use on nocturnal birds in a Mediterranean agricultural landscape;2011;Journal Article;Acta Ornithologica;Moreno-Mateos, David;;;;;;;;;;
289;DI1_2012__Muchane;Muchane et al. 2012;MuchaneEtAl2012;Land use practices and their implications on soil macro-fauna in Maasai Mara ecosystem;2012;Journal Article;International Journal of Biodiversity and Conservation;Muchane, M. N.;;;;;;;;;;
290;AD1_2012__MudriStojnic;Mudri-Stojnic et al. 2012;MudriStojnicEtAl2012;Pollinator diversity (Hymenoptera and Diptera) in semi-natural habitats in Serbia during summer;2012;Journal Article;Archives of Biological Sciences;Mudri-Stojnic, Sonja;;;;;;;;;;
291;MJ1_2008__Munyekenye;Munyekenye et al. 2008;MunyekenyeEtAl2008;Bird species richness and abundance in different forest types at Kakamega Forest, western Kenya;2008;Journal Article;Ostrich;Munyekenye, FB;;;;;;;;;;
312;DI1_2008__Noeske;NÃ¶ske et al. 2008;NoskeEtAl2008;Disturbance effects on diversity of epiphytes and moths in a montane forest in Ecuador;2008;Journal Article;Basic and Applied Ecology;NÃ¶ske, Nicole M.;;;;;;;;;;
292;DI1_2004__Naidoo;Naidoo 2004;Naidoo2004;Species richness and community composition of songbirds in a tropical forest-agricultural landscape;2004;Journal Article;Animal Conservation;Naidoo, R.;10.1017/s1367943003001185;7;;93-105;;;;;;
293;BS1_2012__Naithani;Naithani and Bhatt 2012;NaithaniAndBhatt2012;Bird community structure in natural and urbanized habitats along an altitudinal gradient in Pauri district (Garhwal Himalaya) of Uttarakhand state, India;2012;Journal Article;Biologia;Naithani, Archana;;;;;;;;;;
294;TN1_2006__Nakagawa;Nakagawa et al. 2006;NakagawaEtAl2006;The effects of various forest uses on small mammal communities in Sarawak, Malaysia;2006;Journal Article;Forest Ecology and Management;Nakagawa, Michiko;;;;;;;;;;
295;DI1_2003__Nakamura;Nakamura et al. 2003;NakamuraEtAl2003;Using soil and litter arthropods to assess the state of rainforest restoration;2003;Journal Article;Ecological Management & Restoration;Nakamura, Akihiro;;;;;;;;;;
296;MJ1_2013__Nakashima;Nakashima et al. 2013;NakashimaEtAl2013;Population density and habitat preferences of forest duikers in Moukalaba-Doudou National Park, Gabon;2013;Journal Article;African Zoology;Nakashima, Y;;;;;;;;;;
297;HW1_2012__Naoe;Naoe et al. 2012;NaoeEtAl2012;Effect of forest shape on habitat selection of birds in a plantation-dominant landscape across seasons: comparison between continuous and strip forests;2012;Journal Article;Journal of Forest Research;Naoe, S.;;;;;;;;;;
298;AR1_2008__Navarrete;Navarrete and Halffter 2008;NavarreteAndHalffter2008;Dung beetle (Coleoptera: Scarabaeidae: Scarabaeinae) diversity in continuous forest, forest fragments and cattle pastures in a landscape of Chiapas, Mexico: the effects of anthropogenic changes;2008;Journal Article;Biodiversity and Conservation;Navarrete, Dario;;;;;;;;;;
299;SE1_2011__Navarro;Navarro et al. 2011;NavarroEtAl2011;Seasonal variation in dung beetles (Coleoptera: Scarabaeidae: Scarabaeinae) from Serrania de Coraza, Sucre (Colombia);2011;Journal Article;Revista Colombiana de Ciencia Animal;Navarro, I. L.;;;;;;;;;;
