author;year;database;citation_ori;citation;DOI;Name;mail;BibTeX_reference;Title;Type;Journal;Authors;Citation;Taxa studied;Biome;Realm;Country;Latitude (dec °);Longitude (dec °);Elev. (masl);RG sites;OG sites;Repl. Data;;;;;;;;;;;;
Gillison;2003;CU;Gillison et al. 2003;Gillison 2003;;;;;Vegetation indicates diversity of soil macroinvertebrates: a case study with termites along a land-use intensification gradient in lowland Sumatra;;Organisms Diversity and Evolution;;;Termites;Broadleaf;IM;Indonesia;-1.079;102.099;60;1;1;no;3:111–126.;;;;;;;;;;;
Grau;1997;CU;Grau et al. 1997;Grau 1997;;;;;Floristic and structural patterns along a chronosequence of secondary forest succession in Argentinean subtropical montane forests;;Forest Ecology and Management;;;Plants;Broadleaf;NT;Argentina;-26.800;-65.383;1000;4;2;yes;95:161–171.;;;;;;;;;;;
Ishida;2005;CU;Ishida et al. 2005;Ishida 2005;;;;IshidaEtAl2005;Comparison of species composition and richness between primary and secondary lucidophyllous forests in two altitudinal zones of Tsushima Island;Journal Article;Forest Ecology and Management;Ishida, H.;;Plants;Broadleaf;PA;Japan;34.417;129.333;350;2;2;no;;;;;;;;;;;;
Kennard;2002;CU;Kennard 2002;Kennard 2002;;;;;Secondary Forest Succession in a Tropical Dry Forest: Patterns of Development Across a 50-Year Chronosequence in Lowland Bolivia;;Journal of Tropical Ecology;;;Plants;Transition;NT;Bolivia;-16.750;-61.750;500;12;1;no;18:53–66.;;;;;;;;;;;
Li;2011;CU;Li et al. 2011;Li 2011;;;;;Ecology of the leaf litter herpetofauna of a neotropical rain forest: La Selva;;Acta Zool Mexicana.(Nueva Serie);;;Epiphytes;Broadleaf;PA;China;24.063;101.278;2300;3;1;no;15:1–72.;;;;;;;;;;;
Liebsch;2008;CU;Liebsch et al. 2008, Liebsch et al. 2007;Liebsch 2008, Liebsch 2007;;;;;Biomass, diversity and composition of epiphytic macrolichens in primary and secondary forests in the subtropical Ailao Mountains;;Forest Ecology and Management.;;;Plants;Broadleaf;NT;Brazil;-25.038;-48.861;350;13;5;yes;;;;;;;;;;;;
Parrotta and Knowles;2011;CU;Parrotta and Knowles 2001;Parrotta and Knowles 2001;;;;;Restoring tropical forests on lands mined for bauxite: Examples from the Brazilian Amazon;;Ecological Engineering;;;Plants;Broadleaf;NT;Brazil;-1.667;-56.450;180;5;1;no;17:219–239.;;;;;;;;;;;
Pascarella;2000;CU;Pascarella et al. 2000;Pascarella 2000;;;;;Land-Use History and Forest Regeneration in the Cayey Mountains;;Ecosystems;;;Plants;Broadleaf;NT;Puerto Rico;18.000;-66.100;500;33;4;no;3:217–228.;;;;;;;;;;;
Powers;2009;CU;Powers et al. 2009;Powers 2009;;;;;Diversity and structure of regenerating tropical dry forests in Costa Rica: Geographic patterns and environmental drivers;;Forest Ecology and Management;;;Plants;Transition;NT;Costa Rica;10.840;85.620;550;22;3;yes;258:959–970.;;;;;;;;;;;
Purata;1986;CU;Purata 1986;Purata 1986;;;;;Floristic and structural changes during old-field succession in the Mexican tropics in relation to site history and species availability;;Journal of Tropical Ecology;;;Plants;Broadleaf;NT;Mexico;18.582;-95.105;450;25;1;no;2:257–276.;;;;;;;;;;;
Selmants and Knight;2003;CU;Selmants and Knight 2003;Selmants and Knight 2003;;;;;Understory plant species composition 30-50 years after clearcutting in southeastern Wyoming coniferous forests;;Forest Ecology and Management;;;Plants;Conifer;NA;United States;41.000;-106.000;2900;30;24;no;185:275–289.;;;;;;;;;;;
Stark;2006;CU;Stark et al. 2006;Stark 2006;;;;;Soil seed banks and plant community assembly following disturbance by fire and logging in interior Douglas-fir forests of south-central British Columbia;;Canadian Journal of Botany;;;Plants;Conifer;NA;Canada;50.700;-120.300;900;21;10;yes;84:1548–1560.;;;;;;;;;;;
Aubin;2009;RU;Aubin 2009;Aubin 2009;;;;;Comparison of two plantfunctional approaches to evaluate natural restoration along an old-field - deciduous forestchronosequence;;; M. H. Ouellette P. Legendre C. Messier A. Bouchard . J. Veg. ;;Sci. 20 185–198 ;;;;;;;;;;;;;;;;;;;;;
Bruelheide;2011;RU;Bruelheide 2011;Bruelheide 2011;;;;;;;; M. Böhnke S. Both T. Fang T. Assmann M. Baruffol J. Bauhus F. Buscot X. Y. Chen B. Y. Ding W. Durka A. Erfmeier M. Fischer C. Geißler D. Guo L. D. Guo W. Härdtle J. S. He A. Hector W. Kröber P. Kühn A. C. Lang K. Nadr;;;;;;;;;;;;;;;;;;;;;;;
Chan;2016;RU;Chan 2016;Chan 2016;;;;;Assessment of biomass recovery and soil carbon storage of fallow forests after swidden cultivation in the Bago Mountains Myanmar;;New For; S. Takeda R. Suzuki S. Yamamoto;;47 565–585 ;;;;;;;;;;;;;;;;;;;;;
Dalling;1998;RU;Dalling 1998;Dalling 1998;;;;;Soil seed bank composition along a forest chronosequence in seasonally moist tropical forest ;;Sci; J. S. Denslow a. J. Veg;;9 669–678 ;;;;;;;;;;;;;;;;;;;;;
Davidson;2007;RU;Davidson 2007;Davidson 2007;;;;;Recuperation of nitrogen cycling in Amazonian forests following agricultural;;; C. J. R. De Carvalho A. M. Figueira F. Y. Ishida J. P. H. B. Ometto G. B. Nardoto R. T. Sabá S. N. Hayashi E. C. Leal I. C. G. Vieira L. A. Martinelli ;;;;;;;;;;;;;;;;;;;;;;;
DeWalt;2003;RU;DeWalt 2003;DeWalt 2003;;;;; Changes in vegetation structure and composition along a tropical forest chronosequence: Implications for wildlife;;For. Ecol. Manage; S. K. Maliakal J. S. Denslow;;182 139–151 ;;;;;;;;;;;;;;;;;;;;;
Dent;2013;RU;Dent 2013;Dent 2013;;;;;Secondary forests of central Panama increase in similarity to old-growth forest over time in shade tolerance but not species composition;;Sci; S. J. Dewalt J. S. Denslow . J. Veg;;24 530–542 ;;;;;;;;;;;;;;;;;;;;;
Dungan;2001;RU;Dungan 2001;Dungan 2001;;;;;Seed rain in successional vegetation Port Hills Ecological District New Zealand;;New Zeal. J. Bot. ; D. A. Norton R. P. Duncan . ;;39 115–124 ;;;;;;;;;;;;;;;;;;;;;
Goebel;1996;RU;Goebel 1996;Goebel 1996;;;;;Development of mixed-oak forests in southeastern Ohio: A comparison of second-growth and old-growth forests;;For. Ecol. Manage; D. M. Hix J. W. Jones;;84 1–21 ;;;;;;;;;;;;;;;;;;;;;
Leiva;2009;RU;Leiva 2009;Leiva 2009;;;;;Chronology of tropical dry forest regeneration in Santa Rosa Guanacaste Costa Rica II  Vegetation in relation to the soil;; . Rev. Biol. Trop. ; O. J. Rocha R. Mata M. V Gutiérrez-Soto;;57 817–36 ;;;;;;;;;;;;;;Maelfait, J. P.;Opdam, P.;Roubalova, M.;Schermann, A.;Schermann, N.;Schmidt, T.;Schweiger, O.;Smulders, M. J. M.
Lu;2014;RU;Lu 2014;Lu 2014;;;;;Variations and trade-offs in functional traits of tree seedlings during secondary succession in a tropical lowland rain forest;;Biotropica. ; R. Zang Y. Ding S. G. Letcher W. Long Y. Huang;;46 404–414 ;;;;;;;;;;;;;;;;;;;;;
Marin-Spiotta;2007;RU;Marin-Spiotta 2007;Marin-Spiotta 2007;;;;;Long-term patterns in tropical reforestation: Plant community composition and aboveground biomass accumulation;;Ecol. Appl; R. Ostertag W. L. Silver ;;17 828–839 ;;;;;;;;;;;;;;;;;;;;;
Moola and Vasseur;2004;RU;Moola and Vasseur 2004;Moola and Vasseur 2004;;;;;Recovery of late-seral vascular plants in a chronosequence of post-clearcut forest stands in coastal Nova Scotia Canada;;Plant Ecol; L. Vasseur;;172 183–197 ;;;;;;;;;;;;;;;;;;;;;
Muniz-Castro;2011;RU;Muniz-Castro 2011;Muniz-Castro 2011;;;;; Distance effect from cloud forest fragments on plant community structure in abandoned pastures in Veracruz Mexico;; J. Trop. Ecol; G. Williams-Linera J. M. R. Benayas;;22 431–440 ;;;;;;;;;;;;;;;;;;;;;
Plue;2010;RU;Plue 2010;Plue 2010;;;;;Seed- bank convergence under different tree species during forest development;;Perspect. Plant Ecol. Evol. Syst.; B. Van Gils C. Peppler-Lisbach A. De Schrijver K. Verheyen M. Hermy;;12 211–218 ;;;;;;;;;;;;;;;;;;;;;
Williams;2000;RU;Williams 2000;Williams 2000;;;;;Composition and structure of hemlock-dominated riparian forests of thenorthern Allegheny Plateau: A baseline assessment;;Hemlock Ecosyst. EasternNorth Am. Proc; W. J. Moriarity . Symp. Sustain. Manag;;267 216–224 ;;;;;;;;;;;;;;;;;;;;;
Zhu;2009;RU;Zhu 2009;Zhu 2009;;;;;Changes in plant species diversity along a chronosequence of vegetation restoration in the humid evergreen broad-leaved forest in the Rainy Zone of West China;;Plant Ecol. Divers; S. Cheng X. Cai F. He J. Wang;;24 315–325 ;;;;;;;;;;;;;;;;;;;;;
Addo-Fordjour;2019;RU;Addo-Fordjour 2019;Addo-Fordjour 2019;;;;;Changes in liana community structure and functional traits along a chronosequence ofselective logging in a moist semi-deciduous forest in Ghana;;; B. Ofosu-Bamfo F. Kwofie N. Akyea-Bobi F. A. Rahman E. Amoah;;1375;;;;;;;;;;;;;;;;;;;;;
Lopez-Jimenez;2019;RU;Lopez-Jimenez 2019;Lopez-Jimenez 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Webb and Sah;2003;HU;Webb and Sah 2003;Webb and Sah 2003;;;;;Structure and diversity of natural and managed salShorea robusta;;; Gaertn.f.;;;;;;;;;;;;;;;;;;;;;;;
Upadhaya;2015;HU;Upadhaya et al. 2015;Upadhaya 2015;;;;;Tree diversity and biomass of tropicalforests under two management regimes in Garo hills of north-eastern India;;.Trop. Ecol; S. K. Barik;;6 257â€“268 ;;;;;;;;;;;;;;;;;;;;;
Porrini, Claudio;Ricciardelli D'Albore, Giancarlo;Ruiu, Luca;Romagnoli, Francesco;Satta, Alberto;"Zandigiacomo, Pietro"",,57,1,11-62,,,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
