id;name;author;more info;year
117; P Meli; K. D. Holl; J. M. Rey Benayas H. P. Jones P. C. Jones D. Montoya D. Moreno Mateos A global review of past land use climate and active vs. passive restoration effects on forest recovery. PLOS ONE 12 e0171368 ;2017
118; D Moreno-Mateos; E. B. Barbier; P. C. Jones H. P. Jones J. Aronson J. A. LÃ³pez-LÃ³pez M. L. McCrackin P. Meli D. Montoya J. M. Rey Benayas Anthropogenic ecosystem disturbance and the recovery debt. Nat. Commun. 8 14163 ;2017
119; P A RamÃ­rez; J. A. Simonetti; Conservation opportunities in commercial plantations: The case of mammals. J. Nat. Conserv. 19 351â€“355 ;2011
120; C J A Bradshaw; D. M. J. S. Bowman; N. R. Bond B. P. Murphy A. D. Moore D. A. Fordham R. Thackway M. J. Lawes H. McCallum S. D. Gregory R. C. Dalal M. M. Boer A. J. J. Lynch R. A. Bradstock B. W. Brook B. K. Henry L. P. Hunt D. O. Fisher D. Hunter C. N. Johnson D. A. Keith E. C. Lefroy T. D. Penman W. S. Meyer J. R. Thomson C. M. Thornton J. VanDerWal R. J. Williams L. Keniger A. Specht Brave new green world - consequences of a carbon economy for the conservation of Australian biodiversity. Biol. Conserv. 161 71â€“90 ;2013
121; D P Christian; W. Hoffman; J. M. Hanowski G. J. Niemi J. Beyea Bird and mammal diversity on woody biomass plantations in North America. Biomass Bioenergy 14 395â€“402 ;1998
122; L H Holbech; The conservation importance of luxuriant tree plantations for lower storey forest birds in south-west Ghana. Bird Conserv. Int. 19; 287â€“308 ;2009
123; J Kanowski; C. P. Catterall; G. W. Wardell-Johnson Consequences of broadscale timber plantations for biodiversity in cleared rainforest landscapes of tropical and subtropical Australia. For. Ecol. Manage. 208 359â€“372 ;2005
124; D Lamb; Large-scale ecological restoration of degraded tropical forest lands: The potential role of timber plantations. Restor. Ecol. 6; 271â€“279 ;1998
125; J H Lawton; D. E. Bignell; B. Bolton G. F. Bloemers P. Eggleton P. M. Hammond M. Hodda R. D. Holt T. B. Larsen N. A. Mawdsley N. E. Stork D. S. Srivastava A. D. Watt Biodiversity inventories indicators taxa and effects of habitat modification in tropical forest. Nature 39 72â€“76 ;1998
126; A E Lugo; The apparent paradox of reestablishing species richness on degraded lands with tree monocultures. For. Ecol. Manage. 99; 9â€“19 ;1997
127; B N T Munro; D. B. Lindenmayer; J. Fischer Faunal response to revegetation in agricultural areas of Australia: A review. Ecol. Manage. Restor. 8 199â€“207 ;2007
128; E Nichols; T. Larsen; S. Spector A. L. Davis F. Escobar M. Favila K. Vulinec Global dung beetle response to tropical forest modification and fragmentation: A quantitative literature review and meta-analysis. Biol. Conserv. 137 1â€“19 ;2007
129; D A Norton; Indigenous biodiversity conservation and plantation forestry: Options for the future. New Zeal. For. 43; 34â€“39 ;1998
130; J A Parrotta; J. W. Turnbull; N. Jones Catalyzing native forest regeneration on degraded tropical lands. For. Ecol. Manage. 99 1â€“7 ;1997
131; R Spake; T. H. G. Ezard; P. A. Martin A. C. Newton C. P. Doncaster A meta- analysis of functional group responses to forest recovery outside of the tropics. Conserv. Biol. 29 1695â€“1703 ;2015
132; S S Stephens; M. R. Wagner; Forest plantations and biodiversity: A fresh perspective. J. For. 105 307â€“313 ;2007
133; M E Thompson; M. A. Donnelly; Effects of secondary forest succession on amphibians and reptiles: A review and meta-analysis. Copeia 106 10â€“19 ;2018
134; S J Wilson; J. Schelhas; R. Grau A. S. Nanni S. Sloan Forest ecosystem- Downloaded from https://www.science.org at Peking University on March 17 2022 First release: 17 March 2022 science.org  Page numbers not final at time of first release;2022
135; M T L Bonner; S. Schmidt; L. P. Shoo A meta-analytical global comparison of aboveground biomass accumulation between tropical secondary forests and monoculture plantations. For. Ecol. Manage. 291 73â€“86 ;2013
136; B Bernal; L. T. Murray; T. R. H. Pearson Global carbon dioxide removal rates from forest landscape restoration activities. Carbon Balance Manag. 13 22 ;2018
137; J B Kauffman; R. F. Hughes; C. Heider Carbon pool and biomass dynamics associated with deforestation land use and agricultural abandonment in the neotropics. Ecol. Appl. 19 1211â€“1222 ;2009
138; R D Lasco; Forest carbon budgets in Southeast Asia following harvesting and land cover change. Sci. China 45; 55â€“64 ;2002
139; R D Lasco; F. B. Pulhin; Carbon budgets of forest ecosystems in the Philippines. J. Environ. Sci. Manag. 12 1â€“13 ;2009
140; B Locatelli; S. Lavorel; S. Sloan U. Tappeiner D. Geneletti Characteristic trajectories of ecosystem services in mountains. Front. Ecol. Environ. 15 150â€“159 ;2017
141; J Mascaro; G. P. Asner; D. H. Dent S. J. DeWalt J. S. Denslow Scale- dependence of aboveground carbon accumulation in secondary forests of  Panama: A test of the intermediate peak hypothesis. For. Ecol. Manage. 276 62â€“70 ;2012
142; J A A Anache; E. C. Wendland; P. T. S. Oliveira D. C. Flanagan M. A. Nearing Runoff and soil erosion plot-scale studies under natural rainfall: A meta-analysis of the Brazilian experience. Catena 152 29â€“39 ;2017
143; C J Anderson; B. G. Lockaby; The effectiveness of forestry best management practices for sediment control in the Southeastern United States: A literature review. South. J. Appl. For. 35 170â€“177 ;2011
144; M Bonell; Progress in the understanding of runoff generation dynamics in forests. J. Hydrol. (Amst.;;
145; D S Chanasyk; I. R. Whitson; E. Mapfumo J. M. Burke E. E. Prepas The impacts of forest harvest and wildfire on soils and hydrology in temperate forests: A baseline to develop hypotheses for the Boreal Plain. J. Environ. Eng. Sci. 2 Supplement 1;
146; M Dotterweich; The history of human-induced soil erosion: Geomorphic legacies  early descriptions and research and the development of soil conservation â€” a global synopsis. Geomorphology 201 1â€“34 ;;2013
147; I Douglas; Hydrological investigations of forest disturbance and land cover impacts in South-East Asia: A review. Philos. Trans. R. Soc. Lond. B Biol. Sci. 354  1725â€“1738 ;;1999
148; J M GarcÃ­a-Ruiz; N. Lana-Renault; S. BeguerÃ­a T. Lasanta D. RegÃ¼Ã©s E Nadal-Romero P. Serrano-Muela J. I. LÃ³pez-Moreno B. Alvera C. MartÃ­- Bono L. C. Alatorre From plot to regional scales: Interactions of slope and  catchment hydrological and geomorphic processes in the Spanish Pyrenees. Geomorphology 120 248â€“257 ;2010
149; J M GarcÃ­a-Ruiz; S. BeguerÃ­a; E. Nadal-Romero J. C. GonzÃ¡lez-Hidalgo N. Lana-Renault Y. SanjuÃ¡n A meta-analysis of soil erosion rates across the world. Geomorphology 239 160â€“173 ;2015
150; T Gomi; R. D. Moore; M. A. Hassan Suspended sediment dynamics in small forest streams of the Pacific Northwest. J. Am. Water Resour. Assoc. 41 877â€“ 898 ;2005
151; Q Guo; Y. Hao; B. Liu Rates of soil erosion in China: A study based on runoff plot data. Catena 124 68â€“76 ;2015
152; A Gupta;Erosion and sediment yield in Southeast Asia: a regional perspectiveâ€ in Erosion and Sediment Yield: Global and Regional Perspectives  D. E. Walling B. W. Webb Eds. International Association of 15 Hydrological Sciences Publication 236;;1996
153; L S Hamilton; P. King; Tropical Forested Watersheds. Hydrological Response to Major Uses or Conversions Westview Press Boulder CO USA;1983
154; D J Holz; K. W. J. Williard; P. J. Edwards J. E. Schoonover Soil erosion in humid regions: A review. J. Contemp. Water Res. Educ. 154 48â€“59 ;2015
155; O Jaafar; S. M. SA; S. Al-Toum The Tekala Forest Reserve: A study on surface wash and runoff using close system erosion plots. Geografia Malays. J. Soc. Space 7 1â€“13 ;2011
156; N LabriÃ¨re; B. Locatelli; Y. Laumonier V. Freycon M. Bernoux Soil erosion in the humid tropics: A systematic quantitative review. Agric. Ecosyst. Environ. 203 127â€“139 ;2015
157; H Laudon; R. Sponseller; R. Lucas M. Futter G. Egnell K. Bishop A. Ã…gren E. Ring P. HÃ¶gberg Consequences of more intensive forestry for the sustainable management of forest soils and waters. Forests 2 243â€“260 ;2011
158; Y LÃ¼; L. Chen; B. Fu Land-cover effects on red soil rehabilitation in China: A meta-analysis. Prog. Phys. Geogr. 32 491â€“502 ;2008
159; W Maetens; M. Vanmaercke; J. Poesen B. Jankauskas G. Jankauskiene I. Ionita Effects of land use on annual runoff and soil loss in Europe and the Mediterranean: A meta-analysis of plot data. Prog. Phys. Geogr. 36 599â€“653 ;2012
160; K Scheurer; C. Alewell; D. BÃ¤nninger P. Burkhardt-Holm Climate and land- use changes affecting river sediment and brown trout in alpine countriesâ€”A  review. Environ. Sci. Pollut. Res. Int. 16 232â€“242 ;2009
161; R C Sidle; A. D. Ziegler; J. N. Negishi A. R. Nik R. Siew F. Turkelboom Erosion processes in steep terrain â€” Truths myths and uncertainties related to forest management in Southeast Asia. For. Ecol. Manage. 224 199â€“225 ;2006
162; T Stott; N. Mount; Plantation forestry impacts on sediment yields and downstream channel dynamics in the UK: A review. Prog. Phys. Geogr. 28 1â€“ 44 ;2004
163; C Valentin; F. Agus;" R. Alamban A. Boosaner J. P. Bricquet V. Chaplot T. de Guzman A. de Rouw J. L. Janeau D. Orange K. Phachomphonh P. Podwojewski O. Ribolzi N. Silvera K. Subagyono J. P. ThiÃ©baux T. Vadari	 Do Duy Phai	 Tran Duc Toan Runoff and sediment losses from 27 upland catchments in Southeast Asia: Impact of rapid land use changes and conservation practices. Agric. Ecosyst. Environ. 128 225â€“238 ";2008
164; M Vanmaercke; J. Poesen; G. Verstraeten J. de Vente F. OcakogluSediment yield in Europe: Spatial patterns and scale dependency. Geomorphology 130 142â€“161 ;2011
165; D E Walling; B. W. Webb; Eds. Erosion and Sediment Yield: A Global Overview. IAHS-AISH Publ. 236 ;1996
166; G Wallis; S. McMahon; The impacts of forest management on erosion and sedimentation: A New Zealand review. Logging Ind. Res. Organ. Rep. 19 1â€“ 15 ;1994
167; K F Wiersum;Surface erosion under various tropical agroforestry systemsâ€ in Symposium on Effect of Forest Land Use on Erosion and Slope Stability  C. L. Oâ€™Loughlin A. J. Pearce Eds. Environment andPolicy Institute East-West Center Honolulu 5 Hawaii;;1984
168; S M Wondzell; The influence of forest health and protection treatments on erosion and stream sedimentation in forested watersheds of eastern Oregon and Washington. Northwest Sci. 75; 128â€“140 ;2001
169; D M Amatya; J. Campbell; P. Wohlgemuth K. Elder S. Sebestyen S. Johnson E. Keppeler M. B. Adams 10 P. Caldwell D. MisraHydrological processes of reference watersheds in experimental forests USAâ€ in Forest Hydrology: Processes Management and Assessment D. M. Amatya T. M. Williams L. Bren C. de Jong Eds. CABI Oxford UK;2016
170; J M Anderson; T. Spencer; Carbon Nutrient and Water Balances of Tropical Rain Forest Ecosystems Subject to Disturbance: Management Implications and Research Proposals MAB Digest 4 UNESCO Man and 15 Biosphere Programme Paris France;1991
171; V AndrÃ©assian; Waters and forests: From historical controversy to scientific debate. J. Hydrol. (Amst.;;
172; V Bonnesoeur; B. Locatelli; M. R. Guariguata B. F. Ochoa-Tocachi V. Vanacker Z. Mao A. Stokes S.-L. Mathez-Stiefel Impacts of forests and forestation on hydrological services in the Andes: A systematic review. For.  Ecol. Manage. 433 569â€“584 ;2019
173; A E Brown; A. W. Western; T. A. McMahon L. Zhang Impact of forest cover changes on annual streamflow and flow duration curves. J. Hydrol.  Amst.;
174; L A Bruijnzeel; Hydrology of Moist Tropical Forests and Effects of Conversion: A State of Knowledge Review (Faculty of Earth Sciences  Free University Amsterdam The Netherlands and UNESCO International 25 Hydrology Programme Paris France;;1990
175; L A Bruijnzeel;Hydrology of forest plantations in the tropicsâ€ in Management of Soil  Nutrients and Water in Tropical Plantation Forests E. K. S. Nambiar A. G. Brown Eds. ACIAR Monogr. 43 Australian Centre for Int. Agric. Res. Canberra Australia;;1997
176; L A Bruijnzeel; Hydrological functions of tropical forests: Not seeing the soil for the trees? Agric. Ecosyst. Environ. 104; 185â€“228 ;2004
177; L A Bruijnzeel; M. Mulligan; F. N. Scatena Hydrometeorology of tropical montane cloud forests: Emerging patterns. Hydrol. Processes 25 465â€“498 ;2011
178; I R Calder; Water use of Eucalypts - a review with special reference to South India. Agric. Water Manage. 11; 333â€“342 ;1986
179; J D Cheng; L. L. Lin; H. S. Lu Influences of forests on water flows from headwater watersheds in Taiwan. For. Ecol. Manage. 165 11â€“28 ;2002
180; A A Coble; H. Barnard; E. Du S. Johnson J. Jones E. Keppeler H. Kwon T. E. Link B. E. Penaluna M. Reiter M. River K. Puettmann J. Wagenbrenner Long-term hydrological response to forest harvest during seasonal low flow: Potential implications for current forest practices. Sci. Total Environ. 730 138926 ;2020
181; P M Cornish;The effects of Radiata pine plantation establishment and management on water yield and water quality â€“ a reviewâ€ (Forestry Commission of New South Wales  Sydney;;1989
182; C Cosandey; V. AndrÃ©assian; C. Martin J. F. Didon-Lescot J. Lavabre N. Folton N. Mathys D. Richard The hydrological impact of the mediterranean forest: A review of French research. J. Hydrol. Amst.;
183; I F Creed; M. van Noordwijk; Eds.Forests and Water on a Changing Planet â€“ Vulnerability Adaptation and Governance Opportunities IUFRO World Series 38 ;2018
184; K A Farley; E. G. JobbÃ¡gy; R. B. Jackson Effects of afforestation on water yield: A global synthesis with implications for policy. Glob. Change Biol. 11 1565â€“1576 ;2005
185; P F Ffolliott; D. P. Guertin; Forest Hydrological Resources in China: An Analytical Assessment. United States Man and Biosphere Program Washington D. C. U.S.A.;1987
186; S Filoso; M. O. Bezerra; K. C. B. Weiss M. A. Palmer Impacts of forest restoration on water yield: A systematic review. PLOS ONE 12 e0183210 ;2017
187; J M GarcÃ­a-Ruiz; N. Lana-Renault; Hydrological and erosive consequences of farmland abandonment in Europe with special reference to the Mediterranean region - a review. Agric. Ecosyst. Environ. 140 317â€“338 ;2011
188; M B Gush et al; Estimation of Streamflow Reductions Resulting from Commercial Afforestation in South Africa (WRC Report No. TT 173/02; Water Research Commission Gezina South Africa;2002
189; J E Gyenge; M. E. FernÃ¡ndez; V. Rusch M. M. Sarasola T. M. Schlichter Towards a sustainable forestry development in Patagonia: Truths and myths of environmental impacts of plantations with fast-growing conifers. Afr. J. Plant Sci. Biotechnol. 3 9â€“22 ;2010
190; A R Hibbert;Forest treatment effects on water yieldâ€ in International Symposium on Forest Hydrology  W. E. Sopper H. W. Lull Eds. Pergamon Press Oxford;;1967
191; J W Hornbeck; M. B. Adams; E. S. Corbett E. S. Verry J. A. Lynch Long- term impacts of forest treatments on water yield: A summary for  northeastern USA. J. Hydrol.  Amst.;
192; A Huber; A. IroumÃ©; Variability of annual rainfall partitioning for different sites and forest covers in Chile. J. Hydrol. Amst.;
193; R B Jackson; E. G. JobbÃ¡gy; R. Avissar S. B. Roy D. J. Barrett C. W. Cook K. A. Farley D. C. le Maitre B. A. McCarl B. C. Murray Trading water for carbon with biological carbon sequestration. Science 310 1944â€“1947 ;2005
194; J A Jones; I. F. Creed; K. L. Hatcher R. J. Warren M. B. Adams M. H. Benson E. Boose W. A. Brown J. L. Campbell A. Covich D. W. Clow C. N. Dahm K. Elder C. R. Ford N. B. Grimm D. L. Henshaw K. L. Larson E. S. Miles K. M. Miles S. D. Sebestyen A. T. Spargo A. B. Stone J. M. Vose M. W. Williams Ecosystem processes and human influences regulate streamflow response to climate change at long-term ecological research sites. Bioscience 62 390â€“404 ;2012
195; J Jones; A. Almeida; F. Cisneros A. IroumÃ© E. JobbÃ¡gy A. Lara W. P. Lima C. Little C. Llerena L. Silveira J. C. Villegas Forests and water in South America. Hydrol. Processes 31 972â€“980 ;2017
196; H Komatsu; N. Tanaka; T. Kume Do coniferous forests evaporate more water than broad-leaved forests in Japan? J. Hydrol.  Amst.;
197; H Komatsu; E. Maita; K. Otsuki A model to estimate annual forest evapotranspiration in Japan from mean annual temperature. J. Hydrol. Amst.;
198; P N J Lane; A. E. Best; K. Hickel L. Zhang The response of flow duration curves to afforestation. J. Hydrol. Amst.;
199; Q Li; X. Wei; M. Zhang W. Liu H. Fan G. Zhou K. Giles-Hansen S. Liu Y. Wang Forest cover change and water yield in large forested watersheds: A global synthetic assessment. Ecohydrology 10 1â€“7 ;2017
200; W de P Lima; Reforestation with Eucalyptus and its Environmental Impacts (ARTPRESS  Sio Paulo Brazil;;1987
201; W de P Lima; Environmental Effects of Eucalyptus (IPEF University of S o Paulo Brazil;;1993
202; P Llorens; F. Domingo; Rainfall partitioning by vegetation under Mediterranean conditions. A review of studies in Europe. J. Hydrol. Amst.;
203; B Locatelli; R. Vignola; Managing watershed services of tropical forests and plantations: Can meta-analyses help? For. Ecol. Manage. 258 1864â€“1870 ;2009
204; M Merheb; R. Moussa; C. Abdallah F. Colin C. Perrin N. Baghdadi Hydrological response characteristics of Mediterranean catchments at different time scales: A meta-analysis. Hydrol. Sci. J. 61 2520â€“2539 ;2016
205; A A Molchanov;Cycles of atmospheric precipitation in different types offorests of natural zones of the U.S.S.R.â€ in Productivity of Forest Ecosystems. (Proceedings of Brussels Symposium; Ecology & Conservation Series 5 4 UNESCO;1971
206; H Nakano;Effects of changes of forest conditions on water yield  peak flow and direct runoff of small watersheds in Japanâ€ in International Symposium on Forest Hydrology W. E. Sopper H. W. Lull Eds. Pergamon Press Oxford;;1967
207; L Oyebande;Effects of tropical forest on water yieldâ€ in Forests  Climate and Hydrology: Regional Impacts E. R. C. Reynolds F. B. Thompson Eds. United Nations University Tokyo Japan;;1988
208; A K Peck; Hydrometeorological and microclimatic characteristics of beech forests. Berichte des Meteorologischen Institutes der UniversitÃ¤t Freiburg 10;;2004
209; H L Penman;Vegetation and hydrologyâ€ (Techn. Comm. 53; Commonwealth Agricultural Bureaux 15 Harpenden U.K.;1963
210; K Price; Effects of watershed topography  soils land use and climate on baseflow hydrology in humid regions: A review. Prog. Phys. Geogr. 35 465â€“ 492 ;;2011
211; M Robinson;Methods of hydrological basin comparisonâ€ (Report No. 120;Institute of Hydrology Wallingford U.K.;1992
212; L K Rowe; R. Jackson; B. FaheyLand use and water resources: Hydrological effects of different vegetation coversâ SMF 2167 Projct Report no. 5 LandCare Research Lincoln New Zealand;2002
213; L K Rowe;Land use and water resources: A comparison of streamflow from New Zealand catchments with different vegetation coversâ€ (SMF 2167 Project Report no. 6; LandCare Research Lincoln New Zealand;2003
214; V Sahin; M. J. Hall; The effects of afforestation and deforestation on water  yields. J. Hydrol. Amst.;
215; B Schmalz; U. Looser; U. SchrÃ¶der H. Meesenburg S. Schumann Small hydrological research basins in German-speaking countries of Central Europe. Hydrol. Wasserbewirtsch. 59 184â€“189 ;2015
216; D F Scott; L. A. Bruijnzeel; J. MackensenThe hydrological and soil impacts of forestation in the tropicsâ€ in Forests Water and People in the Humid Tropics â€“ Past Present and Future Hydrological Research for Integrated Land and Water Management M. Bonell L. A. Bruijnzeel Eds. Cambridge University Press Cambridge U.K.;2005
217; I A Shiklomanov; O. I. Krestovsky;The influence of forests and forest reclamation practice on streamflow and water balanceâ€ in Forests Climate and Hydrology: Regional Impacts E. R. C. Reynolds F. B. Thompson Eds. United Nations University Tokyo Japan;1988
218; W E Sopper; H. W. Lull; Eds. International Symposium on Forest Hydrology Pergamon Press Oxford;1967
219; S Soto-SchÃ¶nherr; A. IroumÃ©; How much water do Chilean forests use? A review of interception losses in forest plot studies. Hydrol. Processes 30 4674â€“4686 ;2016
220; J D Stednick; Monitoring the effects of timber harvest on annual water yield. J. Hydrol. (Amst.;;
221; A  I  J  M  van Dijk; R. J. Keenan; Planted forests and water in perspective. For. Ecol. Manage. 251 1â€“9 ;2007
223; S Wang; T. R. McVicar; Z. Zhang T. Brunner P. Strauss Globally partitioning the simultaneous impacts of climate-induced and human-induced changes on catchment streamflow: A review and meta-analysis. J. Hydrol. 590 â€¢â€¢â€¢ ;2020
224; X Wei; S. Liu; G. Zhou C. Wang Hydrological processes in major types of Chinese forest. Hydrol. Processes 19 63â€“75 ;2005
225; X Wei; G. Sun; S. Liu H. Jiang G. Zhou L. Dai The forest-streamflow relationship in China: A 40-year retrospect. J. Am. Water Resour. Assoc. 44 1076â€“1085 ;2008
226; P G Whitehead; M. Robinson; Experimental basin studies - an international and historical perspective of forest impacts. J. Hydrol. Amst.;
227; M Zhang; N. Liu; R. Harper Q. Li K. Liu X. Wei D. Ning Y. Hou S. Liu A global review on hydrological responses to forest change across multiple spatial scales: Importance of scale climate forest type and hydrologicalregime. J. Hydrol. Amst.;
228; G Zhou; X. Wei; X. Chen P. Zhou X. Liu Y. Xiao G. Sun D. F. Scott S. ZhouL. Han Y. Su Global pattern for the effect of climate and land cover on water yield. Nat. Commun. 6 5918 ;2015
229; R R Dunn; Recovery of faunal communities during tropical forestregeneration. Conserv. Biol. 18; 302â€“309 ;2004
230; M C Ruiz-Jaen; T. M. Aide; Restoration success: How is it being measured? Restor. Ecol. 13 569â€“577 ;2005
231; M E Bowen; C. A. McAlpine; A. P. N. House G. C. Smith Regrowth forests on abandoned agricultural land: A review of their habitat values for Downloaded from https://www.science.org at Peking University on March 17   First release: 17 March 2022 science.org Page numbers not final at time of first release;2022
232; J M Rey Benayas; A. C. Newton; A. Diaz J. M. Bullock Enhancement of  biodiversity and ecosystem services by ecological restoration: A meta- analysis. Science 325 1121â€“1124 ;2009
233; L Wortley; J. M. Hero; M. Howes Evaluating ecological restoration success: A review of the literature. Restor. Ecol. 21 537â€“543 ;2013
234; M Curran; S. Hellweg; J. Beck Is there any empirical support for biodiversity offset policy? Ecol. Appl. 24 617â€“632 ;2014
235; S Alem; T. Woldemariam; A comparative assessment on regeneration status of indigenous woody plants in Eucalyptus grandis plantation and adjacent natural forest. J. For. Res. 20 31â€“36 ;2009
236; J Barlow; W. L. Overal; I. S. Araujo T. A. Gardner C. A. Peres The value of primary secondary and plantation forests for fruit-feeding butterflies in the Brazilian Amazon. J. Appl. Ecol. 44 1001â€“1012 ;2007
237; J Barlow; T. A. Gardner; I. S. Araujo T. C. Ãvila-Pires A. B. Bonaldo J. E. Costa M. C. Esposito L. V. Ferreira J. Hawes M. I. M. Hernandez M. S. Hoogmoed R. N. Leite N. F. Lo-Man-Hung J. R. Malcolm M. B. Martins L. A. M. Mestre R. Miranda-Santos A. L. Nunes-Gutjahr W. L. Overal L. Parry S. L. Peters M. A. Ribeiro-Junior M. N. F. da Silva C. da Silva Motta C. A. Peres Quantifying the biodiversity value of tropical primary secondary and plantation forests. Proc. Natl. Acad. Sci. U.S.A. 104 18555â€“18560 ;2007
238; B M Beehler; K. S. R. K. Raju; S. Ali Avian use of man-disturbed forest habitats in the Eastern Ghats India. Ibis 129 197â€“211 ;1987
239; J M Bentley; C. P. Catterall; G. C. Smith Effects of fragmentation of Araucarian vine forest on small mammal communities. Conserv. Biol. 14 1075â€“1087 ;2000
240; L A Berndt; E. G. Brockerhoff; H. Jactel Relevance of exotic pine plantations as a surrogate habitat for ground beetles Carabidae;
241; L A Berndt; E. G. Brockerhoff; Effects of land cover type on carabid beetles Coleoptera: Carabidae;
242; K J Bonham; R. Mesibov; R. Bashford Diversity and abundance of some ground-dwelling invertebrates in plantation vs. native forests in Tasmania Australia. For. Ecol. Manage. 158 237â€“247 ;2002
243; S Boonrotpong; S. Sotthibandhu; C. Pholpunthin Species composition of dung beetles in the primary and secondary forests at Ton Nga Chang Wildlife Sanctuary. Sci. Asia 30 59â€“65 ;2004
244; A Caballero-Gini; M. Vera-JimÃ©nez; F. Silla Composition of terrestrial anurans in areas with different degrees of alteration in San Rafael National  Park Paraguay;
245; A B Carey; M. L. Johnson; Small mammals in managed naturally young and old-growth forests. Ecol. Appl. 5 336â€“352 ;1995
246; R Ceia; R. Heleno; J. A. Ramos Summer abundance and ecological  distribution of passerines in native and exotic forests in SÃ£o Miguel Azores. Ardeola 56 25â€“39 ;2009
247; D S Chauhan; C. S. Dhanai; B. Singh S. Chauhan N. P. Todaria M. A. Khalid Regeneration and tree diversity in natural and planted forests in a Terai - Bhabhar forest in Katarniaghat Wildlife Sanctuary India. Trop. Ecol. 49 53â€“ 67 ;2008
248; S Cheng; J. Ni; M. Gao J. Li Responses of ground Coleoptera adults to different disturbance gradients in the forest ecosystem of the Xiaoxingâ€™an Mountains. Acta Ecol. Sin. 38 3097â€“3109 ;2018
249; D O Chiawo; W. N. Kombe; A. J. F. K. Craig Bird responses to land use change: Guild diversity in a Kenyan coastal forest and adjoining habitats. Emu 118 281â€“292 ;2018
250; M N Clout; P. D. Gaze; Effects of plantation forestry on birds in New Zealand. J. Appl. Ecol. 21 795â€“815 ;1984
251; L P da Silva; R. H. Heleno; J. M. Costa M. Valente V. A. Mata S. C. GonÃ§alves A. A. da Silva J. Alves J. A. Ramos Natural woodlands hold more diverse abundant and unique biota than novel anthropogenic forests: A multi-group assessment. Eur. J. For. Res. 138 461â€“472 ;2019
252; A J Davis; H. Huijbregts; J. Krikken The role of local and regional processes in shaping dung beetle communities in tropical forest planta ions in Borneo. Glob. Ecol. Biogeogr. 9 281â€“292 ;2000
253; L Deharveng; Soil Collembola diversity  endemism and reforesta ion: A case study in the Pyrenees France;;
254; Y Do; G. J. Joo; The effect of fragmentation and intensive management on carabid beetles in coniferous forest. Appl. Ecol. Environ. Res. 11 451â€“461 ;2013
255; H J R Einzmann; G. Zotz; How diverse are epiphyte assemblages i  plantations and secondary forests in tropical lowlands? Trop. Conserv. Sci. 9 629â€“647 ;2016
256; O Fahy; M. Gormally; A comparison of plant and carabid beetle communities in an Irish oak woodland with a nearby conifer plantation and clearfelled site. For. Ecol. Manage. 110 263â€“273 ;1998
257; N Farwig; N. Sajita; K. BÃ¶hning-Gaese Conservation value of fores  plantations for bird communities in western Kenya. For. Ecol. Manage. 255 3885â€“3892 ;2008
258; A Fierro; P. M. Vergara; A native long horned beetle promotes the saproxylic diversity in exotic plantations of Monterrey pine. Ecol. Indic. 96 532â€“539 ;2019
259; A Fierro; A. A. Grez; P. M. Vergara A. RamÃ­rez-HernÃ¡ndez E. MicÃ³ How does the replacement of native forest by exotic forest plantations affect the diversity abundance and trophic structure of saproxylic beetle assemblages? For. Ecol. Manage. 405 246â€“256 ;2017
260; F E FontÃºrbel; A. B. Candia; G. J. CastaÃ±o-Villa Are abandoned Eucalyptus plantations avifauna-friendly? A case study in the Valdivian rainforest. Rev. Mex. Biodivers. 87 1402â€“1406 ;2016
261; R J Fuller; T. H. Oliver; S. R. Leather Forest management effects on carabid beetle communities in coniferous and broadleaved forests: Implications for conservation. Insect Conserv. Divers. 1 242â€“252 ;2008
262; E Gangenova; G. A. Zurita; F. Marangoni Changes to anuran diversityDownloaded from https://www.science.org at Peking University on March 17 2022  First release: 17 March 2022 science.org Page numbers not final at time of first release;2022
263; T A Gardner; M. A. Ribeiro-JÃºnior; J. Barlow T. C. S. Ãvila-Pires M. S. Hoogmoed C. A. Peres The value of primary secondary and plantation forests for a neotropical herpetofauna. Conserv. Biol. 21 775â€“787 ;2007
264; T A Gardner; M. I. M. HernÃ¡ndez; J. Barlow C. A. Peres Understanding the biodiversity consequences of habitat change: The value of secondary and plantation forests for neotropical dung beetles. J. Appl. Ecol. 45 883â€“893 ;2008
265; S Goded; J. Ekroos; J. DomÃ­nguez J. G. AzcÃ¡rate J. A. GuitiÃ¡n H. G. Smith Effects of Eucalyptus plantations on avian and herb species richness and composition in North-West Spain. Glob. Ecol. Conserv. 19 e00690 ;2019
266; V C G GÃ³mez; J. R. VerdÃº; A. GÃ³mez-Cifuentes F. Z. Vaz-de-Mello G. A. Zurita Influence of land use on the trophic niche overlap of dung beetles in the semideciduous Atlantic forest of Argentina. Insect Conserv. Divers. 11 554â€“564 ;2018
267; A GÃ³mez-Cifuentes; A. Munevar; V. C. Gimenez M. G. Gatti G. A. Zurita Influence of land use on the taxonomic and functional diversity of dung beetles Coleoptera: Scarabaeinae;
268; P GonzÃ¡lez-Vainer; E. Morelli; O. Defeo Differences in coprophilous beetle communities structure in Sierra de Minas Uruguay;
269; W Gu et al; Diversity of butterflies in Liangshui Nature Reserves of Xiao Xingâ€™an Mountains. Acta Ecol. Sin. 35; 7387â€“7396 ;2015
