"id_comm";"id_study"
"Berry et al. 2010_Berry Borneo trees 30cm_22_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_23_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_24_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_25_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_26_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_28_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_29_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_30_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_3_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_5_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_6_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_7_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Brearley 2011_BorneoSecondaryVeg_39-05_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Brearley 2011_BorneoSecondaryVeg_40-05_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Brearley 2011_BorneoSecondaryVeg_41-05_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Brearley 2011_BorneoSecondaryVeg_42-05_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Brearley 2011_BorneoSecondaryVeg_43-05_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Brearley 2011_BorneoSecondaryVeg_44-05_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Brearley 2011_BorneoSecondaryVeg_56-05_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Brearley 2011_BorneoSecondaryVeg_57-05_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Brearley 2011_BorneoSecondaryVeg_58-05_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
