"id_study";"age";"class";"count"
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"1";"Liliopsida";1
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"1";"Magnoliopsida";17
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"1.5";"Magnoliopsida";3
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"10";"Magnoliopsida";26
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"12";"Liliopsida";1
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"12";"Magnoliopsida";56
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"15";"Liliopsida";1
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"15";"Magnoliopsida";41
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"18";"Magnoliopsida";50
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"19";"Magnoliopsida";64
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"2";"Magnoliopsida";26
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"20";"Magnoliopsida";56
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"22";"Magnoliopsida";31
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"23";"Liliopsida";1
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"23";"Magnoliopsida";32
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"3";"Magnoliopsida";35
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"4";"Magnoliopsida";36
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"5";"Liliopsida";1
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"5";"Magnoliopsida";18
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"50";"Magnoliopsida";53
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"500";"Liliopsida";35
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"500";"Magnoliopsida";1492
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"500";"Pinopsida";3
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"6";"Magnoliopsida";33
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"60";"Liliopsida";1
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"60";"Magnoliopsida";25
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"8";"Magnoliopsida";27
"PR_Sheil et al. 2002_CIFOR_Indonesia_trees";"9";"Magnoliopsida";35
"PR_Svenning 1998_palms_Ecuador";"10";"Liliopsida";2
"PR_Svenning 1998_palms_Ecuador";"10";"Magnoliopsida";1
"PR_Svenning 1998_palms_Ecuador";"500";"Liliopsida";1
"RU_Addo-Fordjour 2019_Liana";"14";"Magnoliopsida";30
"RU_Addo-Fordjour 2019_Liana";"2";"Magnoliopsida";24
"RU_Addo-Fordjour 2019_Liana";"200";"Liliopsida";1
"RU_Addo-Fordjour 2019_Liana";"200";"Magnoliopsida";24
"RU_Addo-Fordjour 2019_Liana";"40";"Magnoliopsida";31
"RU_Addo-Fordjour 2019_Liana";"68";"Liliopsida";1
"RU_Addo-Fordjour 2019_Liana";"68";"Magnoliopsida";27
"RU_Aubin 2009_Herbs_Frequency";"0";"Liliopsida";1
"RU_Aubin 2009_Herbs_Frequency";"100";"Liliopsida";10
"RU_Aubin 2009_Herbs_Frequency";"100";"Magnoliopsida";18
"RU_Aubin 2009_Herbs_Frequency";"100";"Polypodiopsida";5
"RU_Aubin 2009_Herbs_Frequency";"17.5";"Liliopsida";3
"RU_Aubin 2009_Herbs_Frequency";"17.5";"Magnoliopsida";2
"RU_Aubin 2009_Herbs_Frequency";"31";"Liliopsida";4
"RU_Aubin 2009_Herbs_Frequency";"31";"Magnoliopsida";8
"RU_Aubin 2009_Herbs_Frequency";"31";"Polypodiopsida";1
"RU_Aubin 2009_Herbs_Frequency";"44";"Liliopsida";8
"RU_Aubin 2009_Herbs_Frequency";"44";"Magnoliopsida";11
"RU_Aubin 2009_Herbs_Frequency";"44";"Polypodiopsida";4
"RU_Aubin 2009_Herbs_Mean occurrences";"100";"Liliopsida";1
"RU_Aubin 2009_Herbs_Mean occurrences";"100";"Magnoliopsida";1
"RU_Aubin 2009_Herbs_Mean occurrences";"31";"Liliopsida";1
"RU_Bruelheide 2011_Tree and shrub";"10";"Magnoliopsida";70
"RU_Bruelheide 2011_Tree and shrub";"10";"No identified";1
"RU_Bruelheide 2011_Tree and shrub";"10";"Pinopsida";2
"RU_Bruelheide 2011_Tree and shrub";"30";"Magnoliopsida";71
"RU_Bruelheide 2011_Tree and shrub";"30";"No identified";1
"RU_Bruelheide 2011_Tree and shrub";"30";"Pinopsida";2
"RU_Bruelheide 2011_Tree and shrub";"50";"Magnoliopsida";95
"RU_Bruelheide 2011_Tree and shrub";"50";"No identified";1
"RU_Bruelheide 2011_Tree and shrub";"50";"Pinopsida";3
"RU_Bruelheide 2011_Tree and shrub";"70";"Magnoliopsida";93
"RU_Bruelheide 2011_Tree and shrub";"70";"No identified";1
"RU_Bruelheide 2011_Tree and shrub";"70";"Pinopsida";3
"RU_Bruelheide 2011_Tree and shrub";"80";"Magnoliopsida";101
"RU_Bruelheide 2011_Tree and shrub";"80";"No identified";1
"RU_Bruelheide 2011_Tree and shrub";"80";"Pinopsida";3
"RU_Chan 2016_Tree";"1";"Magnoliopsida";9
"RU_Chan 2016_Tree";"10";"Magnoliopsida";27
"RU_Chan 2016_Tree";"15";"Magnoliopsida";28
"RU_Chan 2016_Tree";"20";"Magnoliopsida";18
"RU_Chan 2016_Tree";"25";"Magnoliopsida";28
"RU_Chan 2016_Tree";"30";"Magnoliopsida";24
"RU_Chan 2016_Tree";"40";"Magnoliopsida";3
"RU_Chan 2016_Tree";"5";"Magnoliopsida";29
"RU_Chan 2016_Tree";"50";"Magnoliopsida";5
"RU_Chan 2016_Tree";"500";"Magnoliopsida";49
"RU_Chan 2016_Tree";"53";"Magnoliopsida";5
"RU_Dalling 1998_Lianas";"40";"Magnoliopsida";1
"RU_Dalling 1998_Tree";"100";"Magnoliopsida";3
"RU_Dalling 1998_Tree";"20";"Magnoliopsida";3
"RU_Dalling 1998_Tree";"40";"Magnoliopsida";1
"RU_Dalling 1998_Tree";"500";"Magnoliopsida";3
"RU_Dalling 1998_Tree";"70";"Magnoliopsida";3
"RU_Davidson 2007_Plant";"10";"Magnoliopsida";15
"RU_Davidson 2007_Plant";"20";"Magnoliopsida";41
"RU_Davidson 2007_Plant";"3";"Magnoliopsida";18
"RU_Davidson 2007_Plant";"40";"Magnoliopsida";53
"RU_Davidson 2007_Plant";"500";"Magnoliopsida";61
"RU_Davidson 2007_Plant";"6";"Magnoliopsida";33
"RU_Davidson 2007_Plant";"70";"Liliopsida";1
"RU_Davidson 2007_Plant";"70";"Magnoliopsida";47
"RU_DeWalt 2003_Tree genus";"100";"Magnoliopsida";2
"RU_DeWalt 2003_Tree genus";"20";"Magnoliopsida";1
"RU_DeWalt 2003_Tree genus";"70";"Magnoliopsida";2
"RU_Dungan 2001_Vegetation";"100";"Magnoliopsida";2
"RU_Dungan 2001_Vegetation";"30";"Magnoliopsida";1
"RU_Dungan 2001_Vegetation";"90";"Magnoliopsida";1
"RU_Goebel 1996_Tree seedlings";"119.5";"Magnoliopsida";2
"RU_Goebel 1996_Tree seedlings";"139.5";"Magnoliopsida";2
"RU_Goebel 1996_Tree seedlings";"79.5";"Magnoliopsida";1
"RU_Leiva 2009_Floral";"10";"Magnoliopsida";3
"RU_Leiva 2009_Floral";"100";"Magnoliopsida";20
"RU_Leiva 2009_Floral";"15";"Magnoliopsida";10
"RU_Leiva 2009_Floral";"20";"Magnoliopsida";6
"RU_Leiva 2009_Floral";"40";"Liliopsida";1
"RU_Leiva 2009_Floral";"40";"Magnoliopsida";14
"RU_Leiva 2009_Floral";"60";"Magnoliopsida";18
"RU_Lopez-Jimenez 2019_Woody";"10";"Magnoliopsida";75
"RU_Lopez-Jimenez 2019_Woody";"20";"Magnoliopsida";57
"RU_Lopez-Jimenez 2019_Woody";"30";"Magnoliopsida";81
"RU_Lopez-Jimenez 2019_Woody";"4";"Magnoliopsida";62
"RU_Lopez-Jimenez 2019_Woody";"40";"Magnoliopsida";91
"RU_Lopez-Jimenez 2019_Woody";"500";"Magnoliopsida";64
"RU_Lopez-Jimenez 2019_Woody";"60";"Magnoliopsida";88
"RU_Moola 2004_Plants_Mean percent cover";"54";"Magnoliopsida";1
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"23";"Liliopsida";3
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"23";"Magnoliopsida";9
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"23";"Polypodiopsida";1
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"3";"Liliopsida";3
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"3";"Magnoliopsida";10
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"500";"Liliopsida";5
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"500";"Magnoliopsida";15
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"500";"Polypodiopsida";1
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"54";"Liliopsida";3
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"54";"Magnoliopsida";8
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"6";"Liliopsida";2
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"6";"Magnoliopsida";9
"RU_Moola 2004_Plants_Percentage ocurrence quadrats";"6";"Polypodiopsida";1
"RU_Moola 2004_Plants_Percentage ocurrence stands";"23";"Liliopsida";3
"RU_Moola 2004_Plants_Percentage ocurrence stands";"23";"Magnoliopsida";9
"RU_Moola 2004_Plants_Percentage ocurrence stands";"23";"Polypodiopsida";1
"RU_Moola 2004_Plants_Percentage ocurrence stands";"3";"Liliopsida";3
"RU_Moola 2004_Plants_Percentage ocurrence stands";"3";"Magnoliopsida";11
"RU_Moola 2004_Plants_Percentage ocurrence stands";"500";"Liliopsida";5
"RU_Moola 2004_Plants_Percentage ocurrence stands";"500";"Magnoliopsida";17
"RU_Moola 2004_Plants_Percentage ocurrence stands";"500";"Polypodiopsida";1
"RU_Moola 2004_Plants_Percentage ocurrence stands";"54";"Liliopsida";3
"RU_Moola 2004_Plants_Percentage ocurrence stands";"54";"Magnoliopsida";8
"RU_Moola 2004_Plants_Percentage ocurrence stands";"6";"Liliopsida";2
"RU_Moola 2004_Plants_Percentage ocurrence stands";"6";"Magnoliopsida";10
"RU_Moola 2004_Plants_Percentage ocurrence stands";"6";"Polypodiopsida";1
"RU_Muniz-Castro 2011_Tree";"1.5";"Magnoliopsida";1
"RU_Muniz-Castro 2011_Tree";"100";"Magnoliopsida";26
"RU_Muniz-Castro 2011_Tree";"12";"Magnoliopsida";9
"RU_Muniz-Castro 2011_Tree";"14";"Magnoliopsida";10
"RU_Muniz-Castro 2011_Tree";"15";"Magnoliopsida";13
"RU_Muniz-Castro 2011_Tree";"15";"Polypodiopsida";1
"RU_Muniz-Castro 2011_Tree";"17";"Magnoliopsida";14
"RU_Muniz-Castro 2011_Tree";"23";"Magnoliopsida";12
"RU_Muniz-Castro 2011_Tree";"35";"Magnoliopsida";11
"RU_Muniz-Castro 2011_Tree";"35";"Polypodiopsida";1
"RU_Muniz-Castro 2011_Tree";"5";"Magnoliopsida";13
"RU_Muniz-Castro 2011_Tree";"5.5";"Magnoliopsida";9
"RU_Muniz-Castro 2011_Tree";"8";"Magnoliopsida";7
"RU_Muniz-Castro 2011_Tree";"80";"Magnoliopsida";13
"RU_Muniz-Castro 2011_Tree";"9";"Magnoliopsida";14
"RU_Plue 2010_Beech seed bank_Abundance";"120";"Liliopsida";13
"RU_Plue 2010_Beech seed bank_Abundance";"120";"Magnoliopsida";21
"RU_Plue 2010_Beech seed bank_Abundance";"250";"Liliopsida";10
"RU_Plue 2010_Beech seed bank_Abundance";"250";"Magnoliopsida";14
"RU_Plue 2010_Beech seed bank_Abundance";"40";"Liliopsida";11
"RU_Plue 2010_Beech seed bank_Abundance";"40";"Magnoliopsida";19
"RU_Plue 2010_Beech seed bank_Abundance";"80";"Liliopsida";11
"RU_Plue 2010_Beech seed bank_Abundance";"80";"Magnoliopsida";28
"RU_Plue 2010_Beech seed bank_Frecuency";"120";"Liliopsida";13
"RU_Plue 2010_Beech seed bank_Frecuency";"120";"Magnoliopsida";21
"RU_Plue 2010_Beech seed bank_Frecuency";"250";"Liliopsida";10
"RU_Plue 2010_Beech seed bank_Frecuency";"250";"Magnoliopsida";14
"RU_Plue 2010_Beech seed bank_Frecuency";"40";"Liliopsida";11
"RU_Plue 2010_Beech seed bank_Frecuency";"40";"Magnoliopsida";19
"RU_Plue 2010_Beech seed bank_Frecuency";"80";"Liliopsida";11
"RU_Plue 2010_Beech seed bank_Frecuency";"80";"Magnoliopsida";28
"RU_Plue 2010_Oak seed bank_Abundance";"120";"Liliopsida";13
"RU_Plue 2010_Oak seed bank_Abundance";"120";"Magnoliopsida";23
"RU_Plue 2010_Oak seed bank_Abundance";"250";"Liliopsida";11
"RU_Plue 2010_Oak seed bank_Abundance";"250";"Magnoliopsida";20
"RU_Plue 2010_Oak seed bank_Abundance";"40";"Liliopsida";15
"RU_Plue 2010_Oak seed bank_Abundance";"40";"Magnoliopsida";34
"RU_Plue 2010_Oak seed bank_Abundance";"80";"Liliopsida";15
"RU_Plue 2010_Oak seed bank_Abundance";"80";"Magnoliopsida";26
"RU_Plue 2010_Oak seed bank_Frecuency";"120";"Liliopsida";13
"RU_Plue 2010_Oak seed bank_Frecuency";"120";"Magnoliopsida";23
"RU_Plue 2010_Oak seed bank_Frecuency";"250";"Liliopsida";11
"RU_Plue 2010_Oak seed bank_Frecuency";"250";"Magnoliopsida";20
"RU_Plue 2010_Oak seed bank_Frecuency";"40";"Liliopsida";15
"RU_Plue 2010_Oak seed bank_Frecuency";"40";"Magnoliopsida";34
"RU_Plue 2010_Oak seed bank_Frecuency";"80";"Liliopsida";15
"RU_Plue 2010_Oak seed bank_Frecuency";"80";"Magnoliopsida";26
"RU_Williams 2000_Spring ephemeral herbs";"150";"Magnoliopsida";1
"RU_Williams 2000_Spring ephemeral herbs";"300";"Magnoliopsida";2
"RU_Williams 2000_Spring ephemeral herbs";"70";"Magnoliopsida";5
"RU_Williams 2000_Summer herbs";"300";"Magnoliopsida";2
"RU_Williams 2000_Tree";"150";"Magnoliopsida";1
