"id_study";"age";"order";"count"
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Apiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Myrtales";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Oxalidales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Pinales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Proteales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Pinales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Laurales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Oxalidales";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Proteales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Apiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Laurales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Myrtales";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Oxalidales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Pinales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Proteales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Laurales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Myrtales";4
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Pinales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Myrtales";4
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Pinales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Apiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Laurales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Myrtales";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Oxalidales";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Pinales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Proteales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Apiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Canellales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Fagales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Oxalidales";3
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Pinales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Proteales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Apiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Canellales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Fagales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Lamiales";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Pinales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Apiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Canellales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Fagales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Lamiales";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Myrtales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Oxalidales";3
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Apiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Canellales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Fagales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Laurales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Myrtales";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Proteales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Apiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Canellales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Fagales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Lamiales";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Laurales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Myrtales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Pinales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Apiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Canellales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Fagales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Lamiales";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Laurales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Myrtales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Pinales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Apiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Canellales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Fagales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Laurales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Myrtales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Oxalidales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Proteales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Apiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Canellales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Fagales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Oxalidales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Apiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Canellales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Fagales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Laurales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Myrtales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Oxalidales";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Proteales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"11";"Canellales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"11";"Fagales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"11";"Oxalidales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Apiales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Canellales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Fagales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Oxalidales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Pinales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Canellales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Fagales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Myrtales";2
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Oxalidales";3
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Pinales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Canellales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Fagales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Laurales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Myrtales";2
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Oxalidales";3
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Proteales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Apiales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Canellales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Fagales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Laurales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Oxalidales";3
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Pinales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Proteales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Canellales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Fagales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Laurales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Oxalidales";3
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Pinales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Proteales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"2";"Canellales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"2";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"2";"Myrtales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"40";"Apiales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"40";"Canellales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"40";"Fagales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"40";"Myrtales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"40";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"70";"Canellales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"70";"Fagales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"70";"Laurales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"70";"Myrtales";2
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"70";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"70";"Pinales";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"70";"Proteales";1
"CU_Aravena et al. 2002_1 1A Trees ba (5 cm dbh) random plots or quadrats";"11";"Oxalidales";1
"CU_Aravena et al. 2002_1 1A Trees ba (5 cm dbh) random plots or quadrats";"134";"Myrtales";1
"CU_Aravena et al. 2002_1 1A Trees ba (5 cm dbh) random plots or quadrats";"199";"Myrtales";1
"CU_Aravena et al. 2002_1 1A Trees ba (5 cm dbh) random plots or quadrats";"199";"Oxalidales";1
"CU_Aravena et al. 2002_1 1A Trees ba (5 cm dbh) random plots or quadrats";"70";"Fagales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"13";"Ericales";2
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"13";"Fabales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"13";"Proteales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"13";"Sapindales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"4";"Ericales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"4";"Fabales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"4";"Malpighiales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Apiales";2
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Asparagales";3
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Dilleniales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Ericales";2
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Fabales";6
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Lamiales";2
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Malpighiales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Myrtales";2
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Poales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Polypodiales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Saxifragales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"8.5";"Fabales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"8.5";"Lamiales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"8.5";"Myrtales";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"8.5";"Poales";1
"CU_Chapman et al. 1997_1 1A Trees (14 cm dbh) random plots or quadrats";"23";"Sapindales";1
"CU_Chapman et al. 1997_1 1A Trees (14 cm dbh) random plots or quadrats";"500";"Lamiales";2
"CU_Chapman et al. 1997_1 1A Trees (14 cm dbh) random plots or quadrats";"500";"Sapindales";1
"CU_Eilu and Obua 2005_1 1A Trees (10 cm dbh) random plots or quadrats";"13";"Lamiales";168
"CU_Eilu and Obua 2005_1 1A Trees (10 cm dbh) random plots or quadrats";"13";"Malpighiales";4
"CU_Eilu and Obua 2005_1 1A Trees (10 cm dbh) random plots or quadrats";"13";"Sapindales";3
"CU_Eilu and Obua 2005_1 1A Trees (10 cm dbh) random plots or quadrats";"17.5";"Lamiales";18
"CU_Eilu and Obua 2005_1 1A Trees (10 cm dbh) random plots or quadrats";"500";"Lamiales";48
"CU_Eilu and Obua 2005_1 1A Trees (10 cm dbh) random plots or quadrats";"500";"Malpighiales";1
"CU_Eilu and Obua 2005_1 1A Trees (10 cm dbh) random plots or quadrats";"500";"Sapindales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"100";"Ericales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"100";"Gentianales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"100";"Laurales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"15";"Apiales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"15";"Ericales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"15";"Fabales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"15";"Gentianales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"15";"Lamiales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"15";"Magnoliales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"15";"Malpighiales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"15";"Myrtales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"15";"Oxalidales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"15";"Rosales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"15";"Sapindales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Apiales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Ericales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Fabales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Gentianales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Lamiales";5
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Laurales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Magnoliales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Malpighiales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Myrtales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Oxalidales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Rosales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Sapindales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Apiales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Cornales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Ericales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Fabales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Lamiales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Laurales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Magnoliales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Malpighiales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Malvales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Myrtales";5
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Rosales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Sapindales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"18";"Ericales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"18";"Fabales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"18";"Gentianales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"18";"Lamiales";8
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"18";"Laurales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"18";"Malpighiales";4
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"18";"Myrtales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"18";"Oxalidales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"18";"Rosales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"18";"Santalales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"18";"Sapindales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Apiales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Aquifoliales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Cornales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Ericales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Fabales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Lamiales";4
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Laurales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Magnoliales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Malpighiales";4
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Myrtales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Oxalidales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Proteales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Rosales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Santalales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Sapindales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Ericales";5
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Fabales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Lamiales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Laurales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Magnoliales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Malpighiales";4
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Malvales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Myrtales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Oxalidales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Proteales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Rosales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Sapindales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Apiales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Ericales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Fabales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Fagales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Gentianales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Lamiales";7
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Laurales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Malpighiales";7
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Myrtales";3
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Proteales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Rosales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Sapindales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Saxifragales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats_importance value";"15";"Oxalidales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats_importance value";"17";"Magnoliales";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats_importance value";"19";"Fabales";2
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats_importance value";"19";"Laurales";1
